GeneID,Symbol,Experimental_Essentiality,FBA_Essentiality
100689276,Eef1a1,1,0
100760295,Eef1a2,0,0
100753925,Eef1b2,0,1
100755894,Eef1d,0,1
100689310,Eef1e1,1,1
100753545,Eef1g,1,1
100689051,Eef2,1,1
100754698,Ehhadh,0,0
100754544,Ehmt1,0,0
100769417,Ehmt2,0,0
100752118,Eif3a,1,1
100762979,Eif3b,1,1
100771190,Eif3e,1,1
100769028,Eif3f,1,1
100763004,Eif3g,1,1
100751998,Eif3h,1,1
100753319,Eif3i,1,1
100766600,Eif3k,1,1
100753359,Eif3l,1,1
100768213,Eif3m,1,1
100762873,Eif4a1,0,0
100763323,Eif4a2,0,0
100757133,Eif4a3,1,0
100758911,Eif4b,0,1
100773768,Eif4e,0,1
100766778,Eif4e1b,0,1
100764716,Eif4e2,0,1
100759947,Eif4e3,0,1
100769654,Eif4ebp1,0,1
100768613,Eif4ebp2,0,1
100752954,Eif4ebp3,0,1
100770567,Eif4g1,1,0
100758677,Eif4g2,1,0
100765660,Eif4g3,0,0
100770352,Eif4h,0,1
100767465,Elovl1,0,0
100764278,Elovl2,0,0
100774317,Elovl3,0,0
100774858,Elovl4,0,0
100753555,Elovl5,0,0
100754940,Elovl7,0,0
100754028,Engase,0,0
100758414,Eno2,0,0
100771169,Eno3,0,0
100767312,Enoph1,0,0
100750518,Enpp1,0,0
100755955,Enpp2,0,0
100751104,Enpp3,0,0
100751104,Enpp3,0,0
100763274,Enpp4,0,0
100757074,Enpp6,0,0
100755684,Enpp7,0,0
100762593,Entpd1,0,0
100771642,Entpd2,0,0
100772668,Entpd3,0,0
100771637,Entpd4,0,0
100751454,Entpd5,0,0
100765414,Entpd6,0,0
100755122,Entpd8,0,0
100757071,Eogt,0,0
100757328,Ephx2,1,0
100751071,Epx,0,0
100774799,Esd,0,0
100758144,Etfa,0,0
100753078,Etfb,0,0
100763190,Etfdh,0,0
100769786,Ethe1,0,0
100765795,Etnk1,1,0
100766811,Etnk2,0,0
100753688,Etnppl,0,0
100689334,Ext1,0,0
100751585,Ext2,0,0
100770000,Extl1,0,0
100761218,Extl2,0,0
100751999,Extl3,0,0
100758055,Ezh2,0,0
100771171,Faah,0,0
100769104,Fabp1,0,0
100754164,Fabp2,0,0
100761139,Fabp3,0,0
100760812,Fabp4,0,0
100762553,Fabp5,0,0
100767370,Fabp6,0,0
100752143,Fabp7,0,0
100757464,Fads2,0,0
100757171,Fads3,0,0
100772984,Fads6,0,0
100757944,Fah,0,0
100757944,Fah,0,0
100766004,Fahd1,0,0
100761130,Fars2,1,0
100763673,Farsa,1,1
100760139,Farsb,1,0
100689207,Fasn,1,0
100767373,Faxdc2,0,0
100752219,Fcsk,0,0
100689192,Fdft1,1,1
100754883,Fdps,1,1
100751853,Fdx1,0,0
100773278,Fdxr,0,0
100764152,Fech,0,0
100763881,Fggy,0,0
100773218,Fh,1,0
100755382,Fhit,1,0
100772123,Fig4,0,0
100761516,Fktn,0,0
100774575,Flad1,1,0
100766724,Flvcr1,1,0
100750993,Fmo1,0,0
100753345,Fmo2,0,0
100753048,Fmo4,0,0
100750494,Fmo5,0,0
100689330,Folr1,1,0
103159499,Fosl1,0,0
100689022,Fpgs,0,0
100769105,Fpgt,0,0
100756307,Frrs1,0,0
100754097,Ftcd,0,0
